Species,Family,n,Positive,Negative
Acraea,Nymphalidae,67,48,19
Acraea,Nymphalidae,52,48,4
Acraea ,Nymphalidae,113,48,65
Acraea ,Nymphalidae,93,44,49
Acraea ,Nymphalidae,402,183,219
Acraea ,Nymphalidae,31,9,22
Acraea ,Nymphalidae,6,1,5
Acraea ,Nymphalidae,4,2,2
Acraea ,Nymphalidae,5,1,4
Acraea ,Nymphalidae,4,1,3
Acraea,Nymphalidae,2,0,2
Actizera,Lycaenidae,1,0,1
Aethiopana,Lycaenidae,1,0,1
Agriphila,Pyralidae,1,1,0
Allosmaitia,Lycaenidae,1,0,1
Allotinus,Lycaenidae,1,0,1
Amata,Erebidae,NA,NA,NA
Amblypodia,Lycaenidae,1,0,1
Amphipyra,Noctuidae,1,0,1
Anaphaeis ,Pieridae,1,0,1
Anthene ,Lycaenidae,1,1,0
Anthocharis ,Pieridae,5,0,5
Apolia ,Pieridae,3,0,3
Araschnia ,Nymphalidae,1,0,1
Arhopala ,Lycaenidae,1,0,1
Ariadne ,Nymphalidae,30,0,30
Ariadne ,Nymphalidae,3,1,2
Artopoetes ,Lycaenidae,1,0,1
Aslauga ,Lycaenidae,1,0,1
Aslauga ,Lycaenidae,1,0,1
Atethmia ,Noctuidae,1,0,1
Atrytonopsis ,Hesperiidae,1,1,0
Atrytonopsis ,Hesperiidae,5,5,0
Axiocerces ,Lycaenidae,1,0,1
Azanus ,Lycaenidae,1,1,0
Baliochila ,Lycaenidae,1,0,1
Borbo ,Hesperiidae,1,0,1
Brangas ,Lycaenidae,1,1,0
Britomartis ,Lycaenidae,1,0,1
Busseola ,Noctuidae,10,0,10
Byasa ,Papilionidae,7,0,7
Byblia ,Nymphalidae,1,0,1
Cacyreus ,Lycaenidae,1,0,1
Cadra ,Noctuidae,NA,NA,NA
Caleta ,Lycaenidae,1,1,0
Caleta ,Lycaenidae,1,0,1
Callipsyche ,Lycaenidae,1,0,1
Callophrys ,Lycaenidae,8,0,8
Callophrys ,Lycaenidae,5,0,5
Calycopis ,Lycaenidae,1,0,1
