Genus	species	n	Positive	Negative
Acraea	encedana	67	48	19
Acraea	encedana	52	48	4
Acraea	encedon	113	48	65
Acraea	encedon	93	44	49
Acraea	encedon	402	183	219
Acraea	encedon	31	9	22
Acraea	encedon	6	1	5
Acraea	encedon	4	2	2
Acraea	encedon	5	1	4
Acraea	encedon	4	1	3
Acraea	violae	2	0	2
Actizera	lucida	1	0	1
Aethiopana	honorius	1	0	1
Agriphila	tristella	1	1	0
Allosmaitia	sp.	1	0	1
Allotinus	nicholsi	1	0	1
Amata	passalis	NA	NA	NA
Amblypodia	narada	1	0	1
Amphipyra	pyramidea	1	0	1
Anaphaeis	aurota	1	0	1
Anthene	emolus	1	1	0
Anthocharis	scolymus	5	0	5
Apolia	crataegi	3	0	3
Araschnia	burejana	1	0	1
Arhopala	micale	1	0	1
Ariadne	merione	30	0	30
Ariadne	merione	3	1	2
Artopoetes	pryeri	1	0	1
Aslauga	aura	1	0	1
Aslauga	orientalis	1	0	1
Atethmia	centrago	1	0	1
Atrytonopsis	hianna	1	1	0
Atrytonopsis 	sp.	5	5	0
Axiocerces	bambana	1	0	1
Azanus	mirza	1	1	0
Baliochila	minima	1	0	1
Borbo	cinnara	1	0	1
Brangas	felderi	1	1	0
Britomartis	bravurus	1	0	1
Busseola	fusca	10	0	10
Byasa	alcinous	7	0	7
Byblia	ilithyia	1	0	1
Cacyreus	marshalli	1	0	1
Cadra	cautella	NA	NA	NA
Caleta	caleta	1	1	0
Caleta	elna	1	0	1
Callipsyche	behrii	1	0	1
Callophrys	muiri	8	0	8
Callophrys	thornei	5	0	5
Calycopis	calus	1	0	1
Castalius	rosimon	2	2	0
Catapaecilma	major	1	0	1
Catopsilia	crocale	NA	NA	NA
Catopsilia	pomona	10	2	8
Catopsilia	pomona	1	0	1
Catopsilia	pyranthe	30	0	30
Catopsilia	pyranthe	NA	NA	NA
Catopsilia	pyranthe	1	0	1
Celastrina	argiolus	1	1	0
Celastrina	argiolus	1	0	1
Cepora	nerissa	1	1	0
Challophrys	irus	1	1	0
Charaxes	dolon	1	0	1
Cheritra	freja	1	0	1
Chilo	partellus	17	17	0
Chilo	partellus	15	15	0
Chilo	partellus	30	0	30
Chilo	suppressalis	1	0	1
