Species	n	Positive	Negative
Acraea_encedana	67	48	19
Acraea_encedana	52	48	4
Acraea_encedon	113	48	65
Acraea_encedon	93	44	49
Acraea_encedon	402	183	219
Acraea_encedon	31	9	22
Acraea_encedon	6	1	5
Acraea_encedon	4	2	2
Acraea_encedon	5	1	4
Acraea_encedon	4	1	3
Acraea_violae	2	0	2
Actizera_lucida	1	0	1
Aethiopana_honorius	1	0	1
Agriphila_tristella	1	1	0
Allosmaitia_sp	1	0	1
Allotinus_nicholsi	1	0	1
Amata_passalis	NA	NA	NA
Amblypodia_narada	1	0	1
Amphipyra_pyramidea	1	0	1
Anaphaeis_aurota	1	0	1
Anthene_emolus	1	1	0
Anthocharis_scolymus	5	0	5
Apolia_crataegi_adherbal	3	0	3
Araschnia_burejana	1	0	1
Arhopala_micale	1	0	1
Ariadne_merione	30	0	30
Ariadne_merione	3	1	2
Artopoetes_pryeri	1	0	1
Aslauga_aura	1	0	1
Aslauga_orientalis	1	0	1
Atethmia_centrago	1	0	1
Atrytonopsis_hianna	1	1	0
Atrytonopsis_sp	5	5	0
Axiocerces_bambana	1	0	1
Azanus_mirza	1	1	0
Baliochila_minima	1	0	1
Borbo_cinnara	1	0	1
Brangas_felderi	1	1	0
Britomartis_bravurus	1	0	1
Busseola_fusca	10	0	10
Byasa_alcinous	7	0	7
Byblia_ilithyia	1	0	1
Cacyreus_marshalli	1	0	1
Cadra_cautella	NA	NA	NA
Caleta_caleta	1	1	0
Caleta_elna	1	0	1
Callipsyche_behrii	1	0	1
Callophrys_muiri	8	0	8
Callophrys_thornei	5	0	5
Calycopis_calus	1	0	1
Castalius_rosimon	2	2	0
Catapaecilma_major	1	0	1
Catopsilia_crocale	NA	NA	NA
Catopsilia_pomona	10	2	8
Catopsilia_pomona_pomona	1	0	1
Catopsilia_pyranthe	30	0	30
Catopsilia_pyranthe	NA	NA	NA
Catopsilia_pyranthe_pyranthe	1	0	1
Celastrina_argiolus	1	1	0
Celastrina_argiolus_ladonides	1	0	1
Cepora_nerissa	1	1	0
Challophrys_irus	1	1	0
Charaxes_dolon	1	0	1
Cheritra_freja	1	0	1
Chilo_partellus	17	17	0
Chilo_partellus	15	15	0
Chilo_partellus	30	0	30
