y,n
48,67
48,52
48,113
44,93
183,402
9,31
1,6
2,4
1,5
1,4
0,2
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,5
0,3
0,1
0,1
0,30
1,3
0,1
0,1
0,1
0,1
1,1
5,5
0,1
1,1
0,1
0,1
1,1
0,1
0,10
0,7
0,1
0,1
1,1
0,1
0,1
0,8
0,5
0,1
2,2
0,1
2,10
0,1
0,30
0,1
1,1
0,1
1,1
1,1
0,1
0,1
17,17
15,15
0,30
0,1
12,12
0,1
0,1
1,1
8,20
14,20
16,20
12,20
16,20
12,20
16,20
12,20
16,20
12,20
8,20
12,20
10,20
18,20
10,20
12,20
10,20
8,20
18,20
10,20
42,86
21,22
8,8
6,7
11,12
12,12
10,10
18,18
10,21
2,2
0,1
0,1
0,1
0,1
0,1
1,1
0,2
0,30
1,3
0,30
0,1
0,1
1,1
0,1
1,2
0,1
1,1
0,1
0,20
20,40
0,4
0,1
0,1
3,12
1,1
0,2
0,30
0,2
0,2
7,14
5,11
0,1
1,2
0,1
0,1
2,4
0,1
1,1
0,1
0,3
0,1
0,2
0,1
0,1
0,1
1,1
1,1
1,1
0,1
25,49
8,16
3,6
6,6
23,23
76,117
34,54
24,30
35,70
257,511
62,107
19,19
43,80
25,49
14,28
4,8
3,7
0,4
0,1
4,8
0,1
1,1
0,2
1,1
2,2
1,1
0,1
0,1
0,1
1,2
0,1
0,1
1,3
1,5
0,1
2,5
0,1
1,2
1,1
0,1
0,1
1,3
1,1
0,1
1,1
0,1
0,1
0,2
1,1
26,29
20,20
22,22
17,17
25,25
21,21
22,22
10,10
4,4
0,22
0,1
0,5
1,30
0,13
0,1
1,7
0,1
1,1
2,7
1,1
0,1
1,2
0,2
0,1
0,1
0,1
2,4
0,1
0,1
0,1
1,1
0,1
4,4
20,180
1,2
0,3
0,1
0,1
0,1
0,1
1,2
2,4
0,1
0,1
1,1
0,1
223,2116
11,79
0,62
0,4
0,4
0,8
0,4
1,4
1,20
1,3
2,22
0,5
0,9
0,1
1,2
0,1
0,4
0,6
0,1
0,1
0,1
0,1
1,1
1,1
1,1
0,30
1,2
0,1
30,60
0,4
0,3
0,1
1,2
2,2
0,2
2,2
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
0,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
60,60
2,2
0,2
0,1
0,1
1,1
0,1
2,2
0,1
0,1
0,2
0,1
0,1
0,1
0,1
0,2
2,2
0,1
1,1
0,1
0,1
0,2
1,1
0,7
0,8
5,90
0,7
1,39
0,56
5,161
4,4
1,2
2,10
0,12
10,122
0,73
5,41
0,24
0,6
0,10
0,10
0,5
2,5
0,10
1,1
1,1
82,85
1,2
0,1
0,1
0,1
0,1
1,2
0,1
0,1
0,1
2,2
0,1
1,7
0,1
0,1
0,4
5,10
1,1
2,20
0,22
0,4
0,1
0,1
1,1
0,1
1,1
1,1
1,1
1,1
2,66
43,59
0,1
0,1
0,1
1,1
30,60
3,3
0,1
1,2
1,1
0,1
0,1
0,1
1,1
0,1
0,1
15,15
23,23
0,30
1,2
0,1
0,1
0,1
0,1
4,4
1,1
0,1
1,7
0,1
0,1
0,1
1,1
0,1
0,1
2,4
1,5
0,1
0,1
0,1
2,2
13,16
78,81
2,6
0,1
