Class,Order,Family,Genus_Species,Total,Infected,Pool Size,Bacterium
arachnida,astigmata,Acaridae,Rhizoglyphus_robini,1,0,1,Cardinium
arachnida,astigmata,Acaridae,Rhizoglyphus_robini,1,0,1,Wolbachia
arachnida,astigmata,Acaridae,Tyrophagus_putrescentiae,1,0,1,Cardinium
arachnida,astigmata,Acaridae,Tyrophagus_putrescentiae,1,0,1,Wolbachia
arachnida,astigmata,Unid.,Unid_sp,1,1,1,Cardinium
arachnida,astigmata,Unid.,Unid_sp,1,0,1,Wolbachia
arachnida,holothyrida,Unid.,Unid_sp,1,0,1,Rickettsia
arachnida,ixodida,Argasidae,Argas_dewae,10,7,1,Rickettsia
arachnida,ixodida,Argasidae,Argas_persicus,29,0,1,Rickettsia
arachnida,ixodida,Argasidae,Argas_vespertilionis,5,3,1,Rickettsia
arachnida,ixodida,Argasidae,Carios_capensis,25,0,1,Rickettsia
arachnida,ixodida,Argasidae,Carios_capensis,24,7,1,Rickettsia
arachnida,ixodida,Argasidae,Carios_capensis,64,17,1,Rickettsia
arachnida,ixodida,Argasidae,Carios_kelleyi,31,28,1,Rickettsia
arachnida,ixodida,Argasidae,Carios_sawaii,9,2,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,183,128,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,184,116,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,21,9,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,475,198,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,391,216,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,704,315,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,151,56,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,38,18,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,121,8,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,60,6,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,19,11,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,29,3,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,72,33,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,50,20,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,76,37,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,48,19,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,54,18,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,74,50,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,104,57,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,69,36,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,60,40,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,62,23,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,59,13,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,42,7,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,15,5,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,41,10,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,79,36,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,37,22,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,22,8,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,16,0,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,100,16,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma_americanum,100,84,1,Rickettsia
