Class,Order,Family,Genus,species,Total,Infected,Pool_Size,Bacterium
arachnida,astigmata,Acaridae,Rhizoglyphus,robini,1,0,1,Cardinium
arachnida,astigmata,Acaridae,Rhizoglyphus,robini,1,0,1,Wolbachia
arachnida,astigmata,Acaridae,Tyrophagus,putrescentiae,1,0,1,Cardinium
arachnida,astigmata,Acaridae,Tyrophagus,putrescentiae,1,0,1,Wolbachia
arachnida,astigmata,Unid.,Unid,sp,1,1,1,Cardinium
arachnida,astigmata,Unid.,Unid,sp,1,0,1,Wolbachia
arachnida,holothyrida,Unid.,Unid,sp,1,0,1,Rickettsia
arachnida,ixodida,Argasidae,Argas,dewae,10,7,1,Rickettsia
arachnida,ixodida,Argasidae,Argas,persicus,29,0,1,Rickettsia
arachnida,ixodida,Argasidae,Argas,vespertilionis,5,3,1,Rickettsia
arachnida,ixodida,Argasidae,Carios,capensis,25,0,1,Rickettsia
arachnida,ixodida,Argasidae,Carios,capensis,24,7,1,Rickettsia
arachnida,ixodida,Argasidae,Carios,capensis,64,17,1,Rickettsia
arachnida,ixodida,Argasidae,Carios,kelleyi,31,28,1,Rickettsia
arachnida,ixodida,Argasidae,Carios,sawaii,9,2,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,183,128,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,184,116,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,21,9,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,475,198,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,391,216,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,704,315,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,151,56,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,38,18,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,121,8,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,60,6,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,19,11,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,29,3,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,72,33,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,50,20,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,76,37,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,48,19,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,54,18,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,74,50,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,104,57,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,69,36,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,60,40,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,62,23,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,59,13,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,42,7,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,15,5,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,41,10,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,79,36,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,37,22,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,22,8,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,16,0,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,100,16,1,Rickettsia
arachnida,ixodida,Ixodidae,Amblyomma,americanum,100,84,1,Rickettsia
