Pos,Neg
48,19
48,4
48,65
44,49
183,219
9,22
1,5
2,2
1,4
1,3
0,2
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
1,0
0,5
0,3
0,1
0,1
0,30
1,2
0,1
0,1
0,1
0,1
1,0
5,0
0,1
1,0
0,1
0,1
1,0
0,1
0,10
0,7
0,1
0,1
1,0
0,1
0,1
0,8
0,5
0,1
2,0
0,1
2,8
0,1
0,30
0,1
1,0
0,1
1,0
1,0
0,1
0,1
17,0
15,0
0,30
0,1
12,0
0,1
0,1
1,0
8,12
14,6
16,4
12,8
16,4
12,8
16,4
12,8
16,4
12,8
8,12
12,8
10,10
18,2
10,10
12,8
10,10
8,12
18,2
10,10
42,44
21,1
8,0
6,1
11,1
12,0
10,0
18,0
10,11
2,0
0,1
0,1
0,1
0,1
0,1
1,0
0,2
0,30
1,2
0,30
0,1
0,1
1,0
0,1
1,1
0,1
1,0
0,1
0,20
20,20
0,4
0,1
0,1
3,9
1,0
0,2
0,30
0,2
0,2
7,7
5,6
0,1
1,1
0,1
0,1
2,2
0,1
1,0
0,1
0,3
0,1
0,2
0,1
0,1
0,1
1,0
1,0
1,0
0,1
25,24
8,8
3,3
6,0
23,0
76,41
34,20
24,6
35,35
257,254
62,45
19,0
43,37
25,24
14,14
4,4
3,4
0,4
0,1
4,4
0,1
1,0
0,2
1,0
2,0
1,0
0,1
0,1
0,1
1,1
0,1
0,1
1,2
1,4
0,1
2,3
0,1
1,1
1,0
0,1
0,1
1,2
1,0
0,1
1,0
0,1
0,1
0,2
1,0
26,3
20,0
22,0
17,0
25,0
21,0
22,0
10,0
4,0
0,22
0,1
0,5
1,29
0,13
0,1
1,6
0,1
1,0
2,5
1,0
0,1
1,1
0,2
0,1
0,1
0,1
2,2
0,1
0,1
0,1
1,0
0,1
4,0
20,160
1,1
0,3
0,1
0,1
0,1
0,1
1,1
2,2
0,1
0,1
1,0
0,1
223,1893
11,68
0,62
0,4
0,4
0,8
0,4
1,3
1,19
1,2
2,20
0,5
0,9
0,1
1,1
0,1
0,4
0,6
0,1
0,1
0,1
0,1
1,0
1,0
1,0
0,30
1,1
0,1
30,30
0,4
0,3
0,1
1,1
2,0
0,2
2,0
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
60,0
2,0
0,2
0,1
0,1
1,0
0,1
2,0
0,1
0,1
0,2
0,1
0,1
0,1
0,1
0,2
2,0
0,1
1,0
0,1
0,1
0,2
1,0
0,7
0,8
5,85
0,7
1,38
0,56
5,156
4,0
1,1
2,8
0,12
10,112
0,73
5,36
0,24
0,6
0,10
0,10
0,5
2,3
0,10
1,0
1,0
82,3
1,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
2,0
0,1
1,6
0,1
0,1
0,4
5,5
1,0
2,18
0,22
0,4
0,1
0,1
1,0
0,1
1,0
1,0
1,0
1,0
2,64
43,16
0,1
0,1
0,1
1,0
30,30
3,0
0,1
1,1
1,0
0,1
0,1
0,1
1,0
0,1
0,1
15,0
23,0
0,30
1,1
0,1
0,1
0,1
0,1
4,0
1,0
0,1
1,6
0,1
0,1
0,1
1,0
0,1
0,1
2,2
1,4
0,1
0,1
0,1
2,0
13,3
78,3
2,4
0,1
