Superfamily,Family,Genus,species,Code name3
Bombycoidea,Eupterotidae,Apha,aequalis,Aaeq
Tineoidea,Tineidae,Amydria,brevipennella,Abre
Pyraloidea,Pyralidae,Accinctapubes,albifasciata,Acal
Gelechioidea,Peleopodidae,Acria,ceramitis,Acer
Papilionoidea,Nymphalidae,Asterocampa,celtis,Acly
Zygaenoidea,Dalceridae,Acraga,coa,Acoa
Geometroidea,Uraniidae,Acropteris,sparsaria,Acro
Pterophoroidea,Pterophoridae,Agdistis,americana,Adam
Tortricoidea,Tortricidae,Aethes,promptana,Aesp
Yponomeutoidea,Heliodinidae,Aetole,tripunctella,Aetr
Bombycoidea,Brahmaeidae,Acanthobrahmaea,europaea,Aeuro
Noctuoidea,Erebidae,Amata,fortunei,Afor
Pterophoroidea,Pterophoridae,Agdistopis,sinhala,Agdi
Gracillarioidea,Roeslerstammiidae,Agriothera,elaeocarpophaga,Agel
Noctuoidea,Noctuidae,Agrotis,ipsilon,Agip
Gelechioidea,Elachistidae,Agonopterix,alstroemeriana,Agpt
Hydroptiloidea,Glossosomatidae,Agapetus,sp.,Agus
Geometroidea,Geometridae,Alsophila,pometaria,Ahpt
Cossoidea,Cossidae,Archaeoses,pentasema,Ahss
Zygaenoidea,Aididae,Aidos,osorius,Aios
Cossoidea,Brachodidae,Miscera,sp.,AK142
Nepticuloidea,Opostegidae,Gen. nov.,sp.,AK154
Alucitoidea,Alucitidae,Alucita,sp.,Alsp
Pyraloidea,Pyralidae,Ambesa,laetella,Ambe
Cossoidea,Castniidae,Amauta,cacica,Amca
Gelechioidea,Autostichidae,Autosticha,modicella,Amod
Gelechioidea,Gelechiidae,Aristotelia,mesotenebrella,Amst
Gracillarioidea,Gracillariidae,Phyllonorycter,aberrans,Anab
Tortricoidea,Tortricidae,Ancylis,sparulana,Ancy
Choreutoidea,Choreutidae,Anthophila,fabriciania,Anfa
Andesianoidea,Andesianidae,Andesiana,lamellata,Anla
Pterophoroidea,Pterophoridae,Anstenoptilia,marmarodactyla,Anma
Tortricoidea,Tortricidae,Anacrusis,piriferana,Anne
Zygaenoidea,Lacturidae,Anticrates,phaedima,Anph
Geometroidea,Geometridae,Archiearis,parthenias,Apar
